Thu Apr 30 16:45:10 EEST 2020,Afisare pacienti
Thu Apr 30 16:45:34 EEST 2020,Doctor adaugat
Thu Apr 30 20:22:01 EEST 2020,Afisare doctori
Thu Apr 30 20:23:25 EEST 2020,Afisare doctori
Thu Apr 30 20:25:34 EEST 2020,Doctor adaugat
Thu Apr 30 20:25:38 EEST 2020,Afisare doctori
Thu Apr 30 20:43:44 EEST 2020,Afisare doctori
Thu Apr 30 20:44:36 EEST 2020,Afisare doctori
Thu Apr 30 20:56:22 EEST 2020,Doctor adaugat
Thu Apr 30 20:56:25 EEST 2020,Afisare doctori
Thu Apr 30 21:03:17 EEST 2020,Pacient asignat
Thu Apr 30 21:03:23 EEST 2020,Afisare doctori
Thu Apr 30 21:05:09 EEST 2020,Pacient asignat
Thu Apr 30 21:05:11 EEST 2020,Afisare doctori
Thu Apr 30 21:27:45 EEST 2020,Afisare doctori
Thu Apr 30 21:27:55 EEST 2020,Doctor adaugat
Thu Apr 30 21:27:56 EEST 2020,Afisare doctori
Thu Apr 30 21:43:08 EEST 2020,Reteta adaugata
Thu Apr 30 22:31:07 EEST 2020,Afisare doctori
Sun May 31 19:06:18 EEST 2020,Adult adaugat
Sun May 31 19:13:31 EEST 2020,Adult adaugat
Sun May 31 19:15:43 EEST 2020,Adult adaugat
Sun May 31 19:50:39 EEST 2020,Adult adaugat
Sun May 31 21:04:07 EEST 2020,Adult sters
Sun May 31 21:38:04 EEST 2020,Afisare adulti
Sun May 31 23:53:28 EEST 2020,Pacient asignat
Sun May 31 23:56:19 EEST 2020,Pacient asignat
Sun May 31 23:57:04 EEST 2020,Pacient asignat
Wed Jun 03 16:04:05 EEST 2020,Copii listati,AWT-EventQueue-0
Wed Jun 03 16:04:30 EEST 2020,Batrani listati,AWT-EventQueue-0
Wed Jun 03 18:41:49 EEST 2020,Batrani listati,AWT-EventQueue-0
Wed Jun 03 18:41:51 EEST 2020,Adulti listati,AWT-EventQueue-0
Wed Jun 03 18:41:54 EEST 2020,Doctori listati,AWT-EventQueue-0
Wed Jun 03 18:55:04 EEST 2020,Copil asignat unui doctor,AWT-EventQueue-0
Wed Jun 03 19:29:54 EEST 2020,Copii listati,AWT-EventQueue-0
Wed Jun 03 19:30:00 EEST 2020,Adulti listati,AWT-EventQueue-0
Wed Jun 03 19:30:16 EEST 2020,Copil adaugat in baza de date,AWT-EventQueue-0
Wed Jun 03 19:30:37 EEST 2020,Copil asignat unui doctor,AWT-EventQueue-0
